context_size,success_rate_percent,correct_answers,total_processed,test_cases_completed,total_test_cases,avg_response_time_ms,avg_input_tokens,avg_output_tokens,avg_cost,p50_ms,p90_ms,p99_ms,avg_cached_tokens,cache_ratio_percent
3,78.9,337,427,147,1466,17313,4645,241,0.0064,16324,25691,34624,4338,93.4
4,80.4,333,414,110,1096,17485,6109,246,0.0068,16472,25056,33924,5341,87.4
5,80.0,339,424,88,875,17768,7493,263,0.0075,16230,27421,39595,6506,86.8
6,74.9,316,422,73,729,18440,8721,266,0.0080,17552,26629,42692,7593,87.1
10,77.5,334,431,44,437,20019,14357,298,0.0100,19179,30007,44563,13270,92.4
20,79.7,341,428,22,218,21912,28199,335,0.0145,20608,34734,50101,27180,96.4
30,76.7,336,438,15,146,24417,41127,362,0.0198,22328,38005,56972,39839,96.9
50,75.7,334,441,9,88,33738,71433,388,0.0508,30137,58846,89230,68615,96.1
70,74.9,304,406,5,63,37931,94465,382,0.0708,32801,66570,98596,92756,98.2
100,69.0,216,313,0,44,42166,142138,424,0.0667,36049,76041,139521,141004,99.2
150,65.8,169,257,0,43,52502,234648,455,0.1821,43279,90719,188805,232004,98.9
200,70.9,173,244,1,43,51062,338116,470,0.2548,42103,85139,174408,335201,99.1
300,65.8,152,231,0,43,58999,526838,482,0.3838,47080,97962,279458,524289,99.5
