context_size,success_rate_percent,correct_answers,total_processed,test_cases_completed,total_test_cases,avg_response_time_ms,avg_input_tokens,avg_output_tokens,avg_cost,p50_ms,p90_ms,p99_ms,avg_cached_tokens,cache_ratio_percent
3,82.0,662,807,280,1395,5459,4700,217,0.0015,4359,10305,18467,4899,100.0
4,78.1,629,805,210,1043,6213,5843,217,0.0015,4864,12277,20657,5543,94.9
5,80.4,654,813,168,833,7040,7521,237,0.0017,5480,14357,22250,7007,93.2
6,81.4,669,822,140,693,7379,8625,235,0.0018,5886,14330,22664,8112,94.1
10,77.2,628,813,84,416,8756,13965,257,0.0022,6795,17473,28033,13392,95.9
20,76.5,620,810,42,208,11418,27553,318,0.0035,9081,23229,36014,26819,97.3
30,73.3,599,817,28,139,13123,40964,361,0.0046,10291,26413,46303,40326,98.4
50,72.4,631,871,18,83,16363,68563,385,0.0070,12839,34040,56833,67568,98.5
70,71.3,580,813,12,60,18771,95825,421,0.0091,13851,41194,74430,94570,98.7
100,71.6,588,821,7,42,32151,141891,489,0.0143,22081,70038,129688,137701,97.0
150,67.4,501,743,5,41,42290,232018,577,0.0226,28390,95858,208558,228069,98.3
200,66.7,488,732,5,41,47419,336195,588,0.0352,30646,106504,233425,324126,96.4
300,63.5,421,663,4,41,56523,527574,600,0.0573,34018,133069,297213,515299,97.7
