context_size,success_rate_percent,correct_answers,total_processed,test_cases_completed,total_test_cases,avg_response_time_ms,avg_input_tokens,avg_output_tokens,avg_cost,p50_ms,p90_ms,p99_ms,avg_cached_tokens,cache_ratio_percent
3,94.0,110,117,117,1169,3928,2344,164,0.0011,3534,7025,9371,0,0.0
4,90.6,106,117,117,1169,5095,4301,206,0.0018,4271,8059,15926,0,0.0
5,82.1,96,117,117,1169,5302,6354,178,0.0024,4223,9629,14334,0,0.0
6,86.4,102,118,59,585,4859,4678,185,0.0018,3873,9507,13766,4584,98.0
10,85.3,99,116,39,390,4976,8258,164,0.0027,4003,9092,13247,6881,83.3
20,87.5,105,120,20,195,6378,15717,203,0.0047,4838,12138,24147,12529,79.7
30,85.8,103,120,12,117,5660,19284,174,0.0051,4362,9694,19152,15989,82.9
50,84.4,108,128,8,74,7215,35247,194,0.0080,5330,12773,23584,28946,82.1
70,78.9,105,133,4,51,8063,49062,185,0.0099,6104,14404,26772,44564,90.8
100,80.5,66,82,0,36,9859,62807,181,0.0134,7156,16727,43116,55121,87.8
150,85.7,54,63,0,24,9203,100754,200,0.0213,7268,13077,28997,85517,84.9
200,75.8,25,33,0,18,12274,127410,222,0.0281,9528,18797,39282,97683,76.7
300,74.3,26,35,0,12,11094,191286,249,0.0376,9016,16275,25995,166903,87.3
