context_size,success_rate_percent,correct_answers,total_processed,test_cases_completed,total_test_cases,avg_response_time_ms,avg_input_tokens,avg_output_tokens,avg_cost,p50_ms,p90_ms,p99_ms,avg_cached_tokens,cache_ratio_percent
1,94.7,568,600,600,2997,1153,1782,22,0.0006,950,1952,3135,0,0.0
2,91.0,546,600,300,1499,1370,3117,26,0.0010,1146,1971,5566,3605,100.0
3,91.7,550,600,200,999,1501,4448,27,0.0013,1233,2357,5959,4636,100.0
4,91.2,547,600,150,750,1670,5440,27,0.0015,1349,2652,6697,5269,96.9
5,88.2,529,600,120,600,1867,6995,29,0.0019,1525,2920,7114,6489,92.8
6,89.5,537,600,100,500,1913,8144,28,0.0021,1647,2949,6528,7273,89.3
10,89.5,537,600,60,300,2234,12846,30,0.0030,1751,3849,7254,11233,87.4
20,87.3,524,600,30,150,2873,25990,30,0.0051,2267,4474,11646,22763,87.6
30,87.5,525,600,20,100,3297,36450,30,0.0065,2464,6016,12274,31986,87.8
50,87.2,523,600,12,60,4271,64248,34,0.0097,2947,8184,18526,58358,90.8
70,86.0,572,665,9,43,4906,87726,31,0.0122,3414,8357,17693,79917,91.1
100,84.4,416,493,3,30,5762,125321,33,0.0171,4439,10239,22833,113449,90.5
150,82.0,347,423,3,30,13613,227811,41,0.0300,7795,29433,70819,211372,92.8
200,81.2,320,394,3,30,16636,320322,43,0.0448,10367,37215,71244,288572,90.1
300,83.6,310,371,3,30,22949,529795,41,0.0786,16189,45322,88004,467109,88.2
