context_size,success_rate_percent,correct_answers,total_processed,test_cases_completed,total_test_cases,avg_response_time_ms,avg_input_tokens,avg_output_tokens,avg_cost,p50_ms,p90_ms,p99_ms,avg_cached_tokens,cache_ratio_percent
4,93.2,869,932,932,932,5041,2258,141,0.0010,3717,9588,19140,4073,100.0
5,92.2,859,932,932,932,5684,4185,141,0.0016,4695,10256,17119,0,0.0
6,92.3,860,932,932,932,6049,6155,146,0.0022,4962,11285,18196,0,0.0
10,88.8,828,932,466,466,6700,8333,140,0.0028,5140,11990,22943,6821,81.9
20,88.2,822,932,187,187,6114,10991,139,0.0033,4598,11344,22383,9038,82.2
30,83.5,778,932,134,134,7759,19254,140,0.0052,5920,14112,31779,16366,85.0
50,83.3,776,932,78,78,8523,30280,147,0.0074,5984,16874,36570,24858,82.1
70,79.7,743,932,55,55,9315,41207,146,0.0089,6521,17567,40615,36170,87.8
100,87.9,819,932,38,38,7925,55238,138,0.0107,5578,14404,43795,47756,86.5
150,76.3,711,932,26,26,11978,85923,154,0.0148,7638,24499,63388,78242,91.1
200,82.8,772,932,19,19,9865,112434,149,0.0171,6916,18099,48213,105426,93.8
300,82.8,772,932,13,13,12511,172123,155,0.0214,8215,22564,71387,165271,96.0
