context_size,success_rate_percent,correct_answers,total_processed,test_cases_completed,total_test_cases,avg_response_time_ms,avg_input_tokens,avg_output_tokens,avg_cost,p50_ms,p90_ms,p99_ms,avg_cached_tokens,cache_ratio_percent
5,94.4,757,802,802,802,5574,2529,169,0.0012,4234,10552,24207,5098,100.0
6,92.0,738,802,802,802,7210,4464,174,0.0018,5224,13762,28959,4085,91.5
10,90.8,728,802,401,401,6165,4969,168,0.0018,4534,11086,28004,6887,100.0
20,90.5,726,802,201,201,6492,9901,162,0.0031,4684,12353,27443,8561,86.5
30,89.9,721,802,134,134,7148,14830,236,0.0045,4970,13210,29754,10793,72.8
50,88.2,707,802,81,81,6940,24700,160,0.0063,5184,12571,33026,19389,78.5
70,88.8,712,802,58,58,7029,34635,163,0.0083,5048,13005,28507,26972,77.9
100,87.3,700,802,41,41,8406,49370,191,0.0106,5337,14703,41991,41179,83.4
150,85.8,688,802,27,27,8440,74970,161,0.0135,6163,15608,35072,69847,93.2
200,85.2,683,802,21,21,9196,98507,166,0.0160,6849,15720,39619,88872,90.2
300,84.3,676,802,14,14,11587,153072,169,0.0200,7996,21527,63615,144656,94.5
