context_size,success_rate_percent,correct_answers,total_processed,test_cases_completed,total_test_cases,avg_response_time_ms,avg_input_tokens,avg_output_tokens,avg_cost,p50_ms,p90_ms,p99_ms,avg_cached_tokens,cache_ratio_percent
3,95.2,1320,1387,1387,1387,1066,3413,68,0.0004,605,1911,9047,4100,100.0
4,94.5,1311,1387,1387,1387,1103,5372,71,0.0006,656,1895,8919,4317,80.4
5,91.1,1264,1387,1387,1387,1149,7347,71,0.0008,678,1990,8647,3859,52.5
6,92.6,1285,1387,694,694,1264,6301,69,0.0005,662,2081,12453,6051,96.0
10,88.3,1225,1387,463,463,1425,11149,68,0.0007,730,2739,11870,10614,95.2
20,80.7,1120,1387,232,232,2290,21789,68,0.0011,1003,6205,14325,21204,97.3
30,80.7,1120,1387,139,139,2738,29462,67,0.0014,1161,7830,15645,28306,96.1
50,69.4,963,1387,87,87,3550,50767,66,0.0023,1500,10908,19072,50106,98.7
70,63.6,882,1387,61,61,3652,69095,118,0.0029,1516,11882,22028,68428,99.0
100,57.1,792,1387,43,43,3780,97836,125,0.0038,1758,9328,25490,97313,99.5
150,64.2,891,1387,28,28,2678,146003,319,0.0046,1738,2632,24820,144323,98.8
200,45.4,630,1387,22,22,3096,195339,601,0.0058,2066,2763,8738,192515,98.6
300,49.4,684,1386,14,14,5082,291817,1133,0.0084,3018,4004,120555,289025,99.0
