context_size,success_rate_percent,correct_answers,total_processed,test_cases_completed,total_test_cases,avg_response_time_ms,avg_input_tokens,avg_output_tokens,avg_cost,p50_ms,p90_ms,p99_ms,avg_cached_tokens,cache_ratio_percent
2,72.4,55,76,76,2280,351845,2096,1859,0.0066,244729,768469,916226,0,0.0
3,68.4,52,76,76,2280,299544,2544,2353,0.0078,195225,707801,843639,0,0.0
4,56.6,43,76,38,1140,299986,2574,2321,0.0077,30568,985180,1283158,0,0.0
5,60.5,46,76,38,1140,282658,3338,3145,0.0095,30208,986043,1377942,0,0.0
6,55.1,43,78,26,760,132730,3184,2983,0.0091,24212,461212,1068387,0,0.0
10,55.0,44,80,16,456,23633,3081,2860,0.0088,21282,34777,50701,0,0.0
20,61.3,49,80,8,228,39327,11028,10917,0.0235,31657,64977,149863,0,0.0
30,64.4,58,90,6,152,53942,18837,18804,0.0378,43794,94367,183405,0,0.0
50,65.0,65,100,4,92,67159,30883,30905,0.0593,52173,114812,209316,0,0.0
70,56.2,59,105,3,66,83109,49653,49713,0.0922,64566,171157,202497,0,0.0
100,59.0,59,100,2,46,111215,64832,64250,0.1178,74200,170911,223839,0,0.0
150,65.7,69,105,2,31,118382,116509,116618,0.2503,116952,194580,210671,0,0.0
200,60.0,60,100,1,23,114801,118086,118157,0.2394,98672,189542,234608,0,0.0
300,70.5,55,78,0,23,149812,223153,223337,0.6080,165520,198714,232099,0,0.0
