context_size,success_rate_percent,correct_answers,total_processed,test_cases_completed,total_test_cases,avg_response_time_ms,avg_input_tokens,avg_output_tokens,avg_cost,p50_ms,p90_ms,p99_ms,avg_cached_tokens,cache_ratio_percent
3,65.1,95,146,49,1467,81121,6977,2294,0.0025,8992,195653,1180034,1636,23.5
4,71.9,100,139,37,1096,104700,8339,2211,0.0025,11276,353706,948327,3173,38.1
5,69.2,101,146,30,875,65557,9764,2286,0.0026,8939,234334,619811,4485,45.9
6,70.7,104,147,25,729,171879,12946,3526,0.0036,11035,143373,2398344,6247,48.3
10,72.0,103,143,15,437,264602,20243,5427,0.0052,12083,54194,9294510,10406,51.4
20,65.6,103,157,8,218,162558,37898,10400,0.0093,21270,95173,4075751,20576,54.3
30,69.6,103,148,5,146,150960,55497,15814,0.0137,26373,140657,2467484,29872,53.8
50,69.3,104,150,3,88,57057,97423,28462,0.0235,40315,136365,220080,57472,59.0
70,73.9,150,203,3,63,81330,138989,44641,0.0364,59984,159172,295916,74076,53.3
100,68.2,131,192,2,44,97287,201828,65416,0.0526,72302,164316,553545,110556,54.8
150,65.5,131,200,2,43,133944,356809,119510,0.0951,136074,212012,444768,185868,52.1
200,60.0,120,200,2,43,155332,500564,168045,0.1327,153248,249496,371902,264751,52.9
300,63.4,104,164,0,43,213043,824120,294830,0.2297,206199,308944,473128,419767,50.9
