context_size,success_rate_percent,correct_answers,total_processed,test_cases_completed,total_test_cases,avg_response_time_ms,avg_input_tokens,avg_output_tokens,avg_cost,p50_ms,p90_ms,p99_ms,avg_cached_tokens,cache_ratio_percent
5,98.1,605,617,617,881,3412,4112,25,0.0013,3068,5265,9157,6114,100.0
6,97.2,600,617,617,881,3931,6144,27,0.0019,3424,5935,12607,4078,66.4
10,97.9,604,617,617,881,4435,13848,28,0.0042,3763,6709,14341,0,0.0
20,96.1,593,617,617,881,4835,33167,29,0.0100,4120,7227,13853,0,0.0
30,95.3,588,617,617,881,5600,52536,31,0.0158,4769,8836,15913,0,0.0
50,95.5,589,617,617,881,6228,90936,29,0.0274,5541,8923,15842,0,0.0
70,95.6,590,617,617,881,9877,129776,36,0.0390,7238,17336,47374,0,0.0
100,94.8,585,617,617,881,12053,187423,31,0.0563,9379,19270,56293,0,0.0
150,91.7,566,617,617,881,16991,284335,35,0.0854,13093,26500,71816,12269,4.3
200,91.4,564,617,617,881,18320,381161,33,0.1144,15064,27965,74924,0,0.0
300,90.3,557,617,617,881,28150,573717,38,0.1722,23748,46100,86285,0,0.0
