context_size,success_rate_percent,correct_answers,total_processed,test_cases_completed,total_test_cases,avg_response_time_ms,avg_input_tokens,avg_output_tokens,avg_cost,p50_ms,p90_ms,p99_ms,avg_cached_tokens,cache_ratio_percent
2,84.2,64,76,76,2280,214042,2451,2313,0.0028,142911,368454,1488289,0,0.0
3,76.3,58,76,76,2280,100479,2614,2431,0.0030,81719,204082,254551,0,0.0
4,67.1,51,76,38,1140,91502,2745,2656,0.0032,18809,257939,366563,0,0.0
5,76.3,58,76,38,1140,74332,2933,2767,0.0034,21317,208547,345526,0,0.0
6,65.4,51,78,26,760,64764,4105,3980,0.0042,16858,170178,615459,0,0.0
10,72.5,58,80,16,456,68480,4475,4390,0.0048,13848,226373,539480,0,0.0
20,68.8,55,80,8,228,68485,11997,11858,0.0107,25326,98348,796051,7134,59.5
30,66.7,60,90,6,152,40587,17600,17425,0.0152,30098,72962,157700,0,0.0
50,62.0,62,100,4,92,45443,26596,26344,0.0226,35744,76680,159629,0,0.0
70,64.8,68,105,3,66,64995,43980,44027,0.0361,50164,154712,176520,0,0.0
100,63.0,63,100,2,46,69677,59300,59401,0.0486,57397,157097,198521,55178,93.0
150,60.0,90,150,2,31,97777,102851,103080,0.0822,79789,173708,215524,0,0.0
200,70.0,70,100,1,23,104999,124933,125199,0.1009,90916,186114,210267,0,0.0
300,57.7,45,78,0,23,147797,244849,245235,0.1947,151156,228900,282228,0,0.0
