context_size,success_rate_percent,correct_answers,total_processed,test_cases_completed,total_test_cases,avg_response_time_ms,avg_input_tokens,avg_output_tokens,avg_cost,p50_ms,p90_ms,p99_ms,avg_cached_tokens,cache_ratio_percent
2,64.5,49,76,76,2280,48294,2303,2169,0.0014,31667,107297,187455,0,0.0
3,56.6,43,76,76,2280,102388,2607,2427,0.0017,83411,208841,292728,0,0.0
4,57.9,44,76,38,1140,76775,2059,1854,0.0013,9071,222768,336982,0,0.0
5,50.0,38,76,38,1140,437158,3743,3426,0.0023,12610,1695053,2514968,0,0.0
6,59.0,46,78,26,760,79144,4306,4083,0.0026,9161,303272,520727,0,0.0
10,56.3,45,80,16,456,125503,5093,4958,0.0033,8124,313320,1558181,0,0.0
20,50.0,40,80,8,228,163363,10090,9877,0.0064,11290,164472,2312522,0,0.0
30,51.1,46,90,6,152,30738,17871,17839,0.0109,22309,54977,154564,0,0.0
50,50.0,50,100,4,92,45463,31177,31179,0.0184,25846,97003,166870,0,0.0
70,65.7,69,105,3,66,59905,49143,49286,0.0286,40926,142909,178597,0,0.0
100,55.0,55,100,2,46,50361,55429,55510,0.0331,36528,137679,167295,0,0.0
150,48.0,72,150,2,31,74444,97773,98078,0.0574,55578,150007,188759,0,0.0
200,51.2,41,80,1,23,87322,139421,139839,0.0820,68277,147507,173118,0,0.0
300,50.0,37,74,0,23,158863,248431,249135,0.1439,137393,161280,182273,0,0.0
