context_size,success_rate_percent,correct_answers,total_processed,test_cases_completed,total_test_cases,avg_response_time_ms,avg_input_tokens,avg_output_tokens,avg_cost,p50_ms,p90_ms,p99_ms,avg_cached_tokens,cache_ratio_percent
3,75.3,216,287,98,1469,7710,5577,1004,0.0019,6858,13305,20201,0,0.0
4,75.6,211,279,74,1096,7746,6584,1163,0.0020,6539,12052,18792,0,0.0
5,72.0,211,293,60,876,7466,7766,1009,0.0021,6568,13889,19703,0,0.0
6,74.0,216,292,50,729,8156,9653,1072,0.0024,7181,15184,22071,0,0.0
10,60.9,179,294,30,437,8436,15404,1310,0.0031,7384,14795,22457,0,0.0
20,57.3,177,309,16,218,14014,28955,3620,0.0058,7693,19475,149150,0,0.0
30,47.1,136,289,10,146,20489,43827,5830,0.0087,8212,27177,205908,38066,86.9
50,44.1,130,295,6,88,33332,78050,10862,0.0152,10366,148075,216224,0,0.0
70,39.5,137,347,2,63,47602,111539,16332,0.0218,12830,163585,214407,0,0.0
100,33.9,112,330,2,44,50055,152690,20953,0.0287,12392,147208,188074,0,0.0
150,28.7,96,334,2,43,46042,253275,19338,0.0378,13073,135185,149335,0,0.0
200,17.8,57,320,1,43,53068,344653,21523,0.0482,15433,140909,169494,0,0.0
300,17.5,35,200,1,43,86605,551836,30618,0.0743,29216,168504,342926,0,0.0
