context_size,success_rate_percent,correct_answers,total_processed,test_cases_completed,total_test_cases,avg_response_time_ms,avg_input_tokens,avg_output_tokens,avg_cost,p50_ms,p90_ms,p99_ms,avg_cached_tokens,cache_ratio_percent
3,88.4,175,198,65,1464,15947,1336,1196,0.0047,14151,27314,39334,0,0.0
4,79.8,162,203,49,1096,17549,1444,1334,0.0053,16859,27975,34804,0,0.0
5,88.1,223,253,52,879,18037,1416,1303,0.0056,16482,30831,38526,0,0.0
6,85.8,235,274,46,729,19974,1501,1407,0.0065,19101,33792,46543,0,0.0
10,87.7,222,253,22,437,22104,1636,1581,0.0085,21188,36520,51552,0,0.0
20,78.4,182,232,8,218,29113,1915,1923,0.0135,26642,49177,70871,0,0.0
30,76.3,148,194,4,146,33880,2135,2207,0.0184,29507,55530,89541,0,0.0
50,76.2,80,105,0,88,38968,2126,2249,0.0259,31402,71207,92867,0,0.0
70,71.8,56,78,0,63,49057,2494,2632,0.0353,40686,91128,135445,0,0.0
100,85.7,30,35,0,44,62821,2169,2317,0.0462,45870,104199,160134,0,0.0
150,61.5,8,13,0,43,139443,2800,3032,0.0775,104879,324386,329536,0,0.0
200,58.3,7,12,0,43,156122,2698,2681,0.1078,91935,300341,332820,0,0.0
300,27.3,3,11,0,43,157326,2117,2146,0.1619,91203,358441,358441,0,0.0
