context_size,success_rate_percent,correct_answers,total_processed,test_cases_completed,total_test_cases,avg_response_time_ms,avg_input_tokens,avg_output_tokens,avg_cost,p50_ms,p90_ms,p99_ms,avg_cached_tokens,cache_ratio_percent
2,80.5,1690,2100,2100,2333,1592,2409,130,0.0003,902,3388,11867,3057,100.0
3,79.8,1675,2100,2100,2333,1823,4369,148,0.0005,1040,4033,12441,2041,46.7
4,79.2,1665,2101,1051,1167,1759,4272,136,0.0004,957,3739,12376,5082,100.0
5,78.2,1643,2102,1051,1167,1935,6225,148,0.0005,1065,4135,14411,6078,97.6
6,77.8,1636,2102,701,778,1787,6119,132,0.0005,981,3594,13024,5990,97.9
10,76.1,1600,2103,421,467,1907,9808,130,0.0006,1042,3828,14227,9323,95.1
20,76.2,1602,2103,211,234,2488,19122,134,0.0009,1256,5832,15829,18599,97.3
30,76.6,1621,2115,141,156,2835,28191,145,0.0013,1414,7398,15580,27585,97.8
50,74.8,1577,2108,85,94,3353,47152,149,0.0020,1665,9296,19210,46646,98.9
70,73.7,1564,2123,61,67,3593,65668,162,0.0026,1823,10514,20209,65017,99.0
100,70.9,1499,2114,40,47,3906,94053,173,0.0035,2087,9288,23613,93436,99.3
150,66.8,1405,2102,27,32,2554,139851,283,0.0043,1970,3144,12690,137525,98.3
200,62.7,1285,2048,20,24,2819,187995,359,0.0054,2308,3427,5765,185251,98.5
300,48.8,1023,2097,20,24,5482,382990,623,0.0108,4411,6475,14085,378502,98.8
