context_size,success_rate_percent,correct_answers,total_processed,test_cases_completed,total_test_cases,avg_response_time_ms,avg_input_tokens,avg_output_tokens,avg_cost,p50_ms,p90_ms,p99_ms,avg_cached_tokens,cache_ratio_percent
4,84.5,788,932,932,932,1482,2870,219,0.0004,960,2833,9728,4772,100.0
5,82.1,765,932,932,932,1650,4849,231,0.0006,1058,3029,11120,4748,97.9
6,80.8,753,932,932,932,1609,6802,239,0.0008,1119,2811,9078,4232,62.2
10,74.6,695,932,466,466,1800,9128,243,0.0008,1193,3199,12944,8472,92.8
20,77.4,721,932,187,187,1782,12191,229,0.0007,1177,3290,11130,11403,93.5
30,73.0,680,932,134,134,2305,20779,245,0.0011,1365,5388,13379,20207,97.2
50,67.8,632,932,78,78,2493,32437,252,0.0015,1460,5518,13485,31686,97.7
70,66.3,618,932,55,55,2579,44202,260,0.0019,1612,4635,14393,43474,98.4
100,72.4,675,932,38,38,2858,59155,275,0.0023,1729,5135,17367,58214,98.4
150,57.0,531,932,26,26,5001,91881,575,0.0038,2316,7702,25293,91385,99.5
200,65.7,612,932,19,19,4742,120084,595,0.0043,2443,7338,28167,119093,99.2
300,57.4,535,932,13,13,3152,182710,501,0.0055,2488,4229,8515,178940,97.9
