context_size,success_rate_percent,correct_answers,total_processed,test_cases_completed,total_test_cases,avg_response_time_ms,avg_input_tokens,avg_output_tokens,avg_cost,p50_ms,p90_ms,p99_ms,avg_cached_tokens,cache_ratio_percent
6,77.4,504,651,651,651,994,2590,157,0.0003,681,1495,7963,5894,100.0
10,70.5,459,651,651,651,1246,10326,192,0.0011,843,1744,16385,4858,47.0
20,66.4,432,651,217,217,970,11470,181,0.0007,738,1431,4838,10999,95.9
30,71.3,464,651,131,131,1037,12664,189,0.0007,754,1463,5449,11995,94.7
50,57.1,372,651,82,82,1062,24192,185,0.0011,879,1680,4336,23786,98.3
70,52.8,344,651,60,60,1182,35641,200,0.0015,975,1875,3635,35074,98.4
100,46.2,301,651,41,41,1609,48737,289,0.0019,1084,1962,8372,48244,99.0
150,65.4,426,651,27,27,1910,63130,327,0.0025,1242,2343,11853,61752,97.8
200,36.7,239,651,20,20,2243,89828,357,0.0032,1535,2848,8742,89125,99.2
300,52.2,340,651,14,14,3108,126265,733,0.0043,1853,3001,9788,125317,99.2
