context_size,success_rate_percent,correct_answers,total_processed,test_cases_completed,total_test_cases,avg_response_time_ms,avg_input_tokens,avg_output_tokens,avg_cost,p50_ms,p90_ms,p99_ms,avg_cached_tokens,cache_ratio_percent
3,87.5,21,24,24,24,4242,10555,91,0.0030,2863,7311,9628,5736,54.3
4,79.2,19,24,24,24,4122,12598,94,0.0036,3907,6026,7399,6122,48.6
5,79.2,19,24,24,24,4225,14495,96,0.0042,3435,7395,8480,6129,42.3
6,83.3,20,24,24,24,5400,16576,103,0.0050,4312,7709,10866,6817,41.1
10,70.8,17,24,24,24,4989,24333,102,0.0075,4625,7747,8835,4596,18.9
20,75.0,18,24,24,24,4930,44173,103,0.0135,4735,6623,7237,0,0.0
30,79.2,19,24,23,24,15770,63906,99,0.0193,5068,10137,14189,4090,6.4
50,70.8,17,24,24,24,7702,103681,107,0.0314,6594,8876,11804,0,0.0
70,66.7,16,24,24,24,10212,143305,122,0.0433,8431,11043,19341,0,0.0
100,66.7,16,24,24,24,13465,202390,121,0.0610,8063,32408,37045,0,0.0
150,62.5,15,24,24,24,17544,301528,118,0.0908,13121,31467,44529,0,0.0
200,62.5,15,24,24,24,21742,399499,198,0.1203,14943,35605,38786,0,0.0
300,58.3,14,24,24,24,32195,598151,122,0.1798,20911,41019,79389,0,0.0
