context_size,success_rate_percent,correct_answers,total_processed,test_cases_completed,total_test_cases,avg_response_time_ms,avg_input_tokens,avg_output_tokens,avg_cost,p50_ms,p90_ms,p99_ms,avg_cached_tokens,cache_ratio_percent
4,81.3,13,16,16,16,5835,12985,136,0.0040,4459,8669,11191,8140,62.7
5,75.0,12,16,16,16,6789,14906,118,0.0043,4841,8509,17203,7634,51.2
6,62.5,10,16,16,16,5580,16861,128,0.0052,4361,8123,8994,5090,30.2
10,75.0,12,16,16,16,5929,24808,133,0.0077,4837,7230,8449,8150,32.9
20,81.3,13,16,16,16,7457,44980,129,0.0138,7084,8884,9715,0,0.0
30,75.0,12,16,16,16,7540,64029,131,0.0195,6217,13016,15769,4086,6.4
50,68.8,11,16,16,16,10284,103822,152,0.0314,7485,16638,17862,4087,3.9
70,81.3,13,16,16,16,29457,144189,170,0.0437,10571,25482,40541,0,0.0
100,68.8,11,16,16,16,19244,203316,188,0.0615,16442,30842,38209,0,0.0
150,56.3,9,16,16,16,24268,301904,219,0.0911,14902,46583,52286,0,0.0
200,31.3,5,16,16,16,25318,398989,172,0.1201,16237,27425,72011,0,0.0
300,62.5,10,16,16,16,40352,597719,213,0.1798,24366,37864,43749,0,0.0
