context_size,success_rate_percent,correct_answers,total_processed,test_cases_completed,total_test_cases,avg_response_time_ms,avg_input_tokens,avg_output_tokens,avg_cost,p50_ms,p90_ms,p99_ms,avg_cached_tokens,cache_ratio_percent
1,77.5,1623,2094,2094,3497,3571,664,24,0.0003,1693,5383,37130,0,0.0
2,75.7,1588,2099,1050,1749,4008,816,24,0.0003,1846,6818,45482,0,0.0
3,74.0,1546,2090,697,1166,3784,975,25,0.0004,1970,6711,30789,0,0.0
4,74.2,1562,2105,527,875,3769,1130,26,0.0004,2028,7017,33332,0,0.0
5,73.2,1530,2090,418,700,4280,1271,27,0.0004,2171,7749,36078,0,0.0
6,74.1,1468,1980,330,583,4125,1425,27,0.0005,2116,6767,36153,0,0.0
10,71.4,1360,1906,188,350,4220,1861,29,0.0006,2344,7284,27110,0,0.0
20,69.2,1297,1875,93,175,3745,1930,30,0.0007,2406,6932,20817,0,0.0
30,68.3,1331,1949,65,117,5206,1934,31,0.0007,2556,8985,47965,0,0.0
50,60.6,1242,2050,41,70,7266,1926,34,0.0007,3352,10809,53811,0,0.0
70,58.8,1234,2097,30,50,5688,1918,36,0.0007,3251,10356,49644,0,0.0
100,56.6,1286,2272,22,35,5011,1926,38,0.0007,3121,9133,34285,0,0.0
150,56.0,1247,2225,21,35,5079,1927,40,0.0007,2991,9350,29298,0,0.0
200,56.5,1264,2239,20,35,5633,1937,42,0.0007,3125,10455,44629,0,0.0
300,61.0,1219,1997,20,35,4083,1962,44,0.0007,2898,8050,18358,0,0.0
