context_size,success_rate_percent,correct_answers,total_processed,test_cases_completed,total_test_cases,avg_response_time_ms,avg_input_tokens,avg_output_tokens,avg_cost,p50_ms,p90_ms,p99_ms,avg_cached_tokens,cache_ratio_percent
3,68.5,94586,138127,1169,1169,6582,372,107,0.0004,5125,10730,25611,0,0.0
4,66.0,91090,137970,1169,1169,6539,518,115,0.0004,5026,11145,27254,0,0.0
5,66.8,92612,138653,1169,1169,6465,669,106,0.0005,4981,11076,25739,0,0.0
6,65.5,87647,133911,585,585,7062,628,117,0.0005,5224,11945,29752,0,0.0
10,61.1,85140,139377,390,390,7340,1073,114,0.0006,5551,12425,39006,0,0.0
20,60.1,80434,133780,195,195,7966,1474,128,0.0007,5977,14571,35985,0,0.0
30,57.8,80513,139365,117,117,8950,1500,122,0.0008,6515,15631,42097,0,0.0
50,52.6,62099,118129,74,74,8099,1524,130,0.0008,6648,14999,24294,0,0.0
70,51.0,62091,121764,51,51,9237,1526,124,0.0008,7281,17056,37961,0,0.0
100,48.7,62365,128046,36,36,8814,1521,130,0.0008,7456,15713,27464,0,0.0
150,41.9,51067,121771,24,24,8702,1521,145,0.0009,7388,15606,27714,0,0.0
200,40.6,51414,126765,18,18,11760,1521,150,0.0008,7945,17307,38649,0,0.0
300,37.7,42976,113934,12,12,16088,1477,145,0.0009,7835,17960,30781,0,0.0
