context_size,success_rate_percent,correct_answers,total_processed,test_cases_completed,total_test_cases,avg_response_time_ms,avg_input_tokens,avg_output_tokens,avg_cost,p50_ms,p90_ms,p99_ms,avg_cached_tokens,cache_ratio_percent
2,32.2,98,304,304,2280,15528,864,208,0.0032,14709,20966,29867,0,0.0
3,38.2,116,304,304,2280,15424,1017,227,0.0035,15059,20967,26071,0,0.0
4,31.3,95,304,152,1140,15739,1209,221,0.0037,15514,21082,27937,0,0.0
5,29.3,89,304,152,1140,16133,1349,237,0.0041,15360,23261,30315,0,0.0
6,37.5,117,312,104,760,16765,1536,243,0.0043,15380,22246,40044,0,0.0
10,29.4,94,320,64,456,16291,1931,260,0.0050,15375,22958,31517,0,0.0
20,26.6,85,320,32,228,17216,1977,282,0.0053,16241,24054,37799,0,0.0
30,25.8,85,330,22,152,19011,2008,265,0.0052,17155,27233,61290,0,0.0
50,26.0,91,350,14,92,17673,2031,303,0.0056,16683,24070,35367,0,0.0
70,21.2,89,420,12,66,18018,2028,304,0.0056,17071,24840,34150,0,0.0
100,20.5,82,400,8,46,18329,2006,314,0.0057,17573,25682,36603,0,0.0
150,23.2,87,375,5,31,18478,2049,318,0.0057,17699,26071,32616,0,0.0
200,21.6,82,380,4,23,18724,2073,329,0.0059,18338,26496,32613,0,0.0
300,19.5,74,380,4,23,19509,2080,357,0.0062,18418,26802,36198,0,0.0
