context_size,success_rate_percent,correct_answers,total_processed,test_cases_completed,total_test_cases,avg_response_time_ms,avg_input_tokens,avg_output_tokens,avg_cost,p50_ms,p90_ms,p99_ms,avg_cached_tokens,cache_ratio_percent
5,93.0,746,802,802,802,12045,2529,133,0.0044,11511,16667,23480,4689,100.0
6,93.1,747,802,802,802,12971,4441,148,0.0070,12289,17816,24794,4078,91.8
10,91.1,731,802,401,401,12246,4969,138,0.0062,11478,16791,24846,6453,100.0
20,92.1,739,802,201,201,12174,9904,138,0.0082,11337,17176,24339,9582,96.7
30,90.8,728,802,134,134,12067,14830,137,0.0096,11255,16928,28783,13734,92.6
50,90.9,729,802,81,81,12223,24643,139,0.0129,11298,17682,27054,23374,94.8
70,92.3,740,802,58,58,12450,34686,138,0.0165,11420,17809,31571,33055,95.3
100,91.3,732,802,41,41,12679,49361,135,0.0232,11527,18132,34646,47117,95.5
150,90.4,725,802,27,27,13383,74994,130,0.0492,11858,20528,37382,70222,93.6
200,90.6,727,802,21,21,14029,98817,129,0.0646,12087,21464,39168,93535,94.7
300,89.8,720,802,14,14,15734,154842,126,0.0774,13221,25788,44685,151470,97.8
