context_size,success_rate_percent,correct_answers,total_processed,test_cases_completed,total_test_cases,avg_response_time_ms,avg_input_tokens,avg_output_tokens,avg_cost,p50_ms,p90_ms,p99_ms,avg_cached_tokens,cache_ratio_percent
2,57.6,350,608,608,2280,1282,3349,327,0.0005,1204,2104,3093,0,0.0
3,58.6,356,608,608,2280,1423,5324,345,0.0007,1319,2403,3237,0,0.0
4,61.2,372,608,304,1140,1407,6164,361,0.0006,1258,2409,3487,5610,91.0
5,59.2,360,608,304,1140,1436,8105,362,0.0008,1325,2398,3466,7573,93.4
6,59.6,372,624,208,760,1418,8949,359,0.0008,1316,2312,3712,8338,93.2
10,58.6,369,630,126,456,1557,14507,388,0.0010,1416,2638,3965,13932,96.0
20,60.5,387,640,64,228,1886,28406,447,0.0016,1704,3018,4730,27819,97.9
30,56.0,353,630,42,152,2106,42047,471,0.0021,1935,3314,4869,41454,98.6
50,59.1,384,650,26,92,2758,69821,577,0.0030,2570,4177,6679,69233,99.2
70,57.5,443,770,22,66,3709,98170,844,0.0041,2931,4752,7756,97627,99.4
100,55.9,436,780,16,46,3977,140838,639,0.0043,3632,6029,8965,139268,98.9
150,52.4,354,675,9,31,4988,210938,832,0.0062,4252,7285,12864,207993,98.6
200,48.7,368,756,7,23,6340,281868,1036,0.0081,5059,8372,17241,279494,99.2
300,44.7,337,754,7,23,10117,479286,1540,0.0136,7783,15787,32486,476109,99.3
